,LHA11561.0001.1.1.2.1.ZZX6GV14_S1,LHA11561.0002.1.1.2.2.ZZX6GWU2_S2,LHA11561.0003.1.1.2.3.ZZX6GYKK_S3,LHA11561.0004.1.1.2.4.ZZX6H0B2_S4,LHA11561.0005.1.1.6.1.ZZX6GV40_S5,LHA11561.0007.1.1.6.3.ZZX6GYNC_S7,LHA11561.0008.1.1.6.4.ZZX6H0DU_S8,LHA11561.0009.1.1.7.1.ZZX6GV4Q_S9,LHA11561.0010.1.1.7.2.ZZX6GWXJ_S10,LHA11561.0011.1.1.7.3.ZZX6GYO1_S11,LHA11561.0012.1.1.7.4.ZZX6H0EJ_S12,LHA11561.0013.1.1.18.1.ZZX6GVCO_S13,LHA11561.0014.1.1.18.2.ZZX6GX56_S14,LHA11561.0015.1.1.18.3.ZZX6GYVO_S15,LHA11561.0016.1.1.18.4.ZZX6H0M6_S16
04eb9fadbee5232a5e40abb176960816,5481,34,404,1663,5644,6170,290,0,47,484,1326,157,1224,18,14
4cf44ed0bb60e934e9a775731c727392,0,21,0,0,0,11,0,49140,31808,16,21,8,43,33,6
1ca358eae903847ab3c0f8c50218de5c,0,0,5,7,11,0,0,17,25,31628,46568,32449,215,10,7
f3f165ba5ceeda2548584b33dc91fbd0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0
625b4a6d792d6e455ed9a9224c684b83,11904,19425,20284,18088,13452,5417,238,0,10,6756,106,263,12573,2899,4175
1777426ee6ded91bcb7349a47964c37b,891,0,69,247,801,0,0,0,0,0,0,0,0,0,0
53843be9c1e61c592a61913343781530,27232,24277,24505,34000,4234,22743,21274,0,18,65,369,8,3283,636,4426
f9552a04aee636b576e1a0269ba5379d,0,0,36,0,17277,75,555,9,0,1006,3383,5776,1720,86,572
7737ea7a64af674208942bee3640636e,20545,8254,11016,13993,20,0,0,7,16,7750,12043,1578,235,2670,535
96182bb822e04f753e31c29ab8da343d,0,0,0,0,128,0,0,0,0,7091,89,259,7336,435,1070
347e2389fb1831bddaf8836f19d94538,10511,16,12,0,6922,2819,1261,0,13,0,0,817,15681,1492,1544
8c0d2306a1323a82c22cb9c9401d8436,0,0,0,0,9681,15267,7774,0,0,0,0,3329,4304,3008,689
48ec9d850abfe9cf88a9d2a1461b3dc1,8631,17139,10739,14960,4315,2952,3861,0,0,0,0,0,68,0,100
71ccbb27dd140dd6cc49e9185ec5933a,0,89,152,197,2334,6440,1402,0,0,63,121,84,209,1320,1002
b444b0c7533dc54e4c5d61af3fd4ce2c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5c7cf41d722f88f1b5700dcb1b0f0102,5744,8945,5475,5128,4041,3276,224,0,0,1546,113,401,1647,0,0
3df51ac4450d487efe4d52c403915cd3,4962,8947,71,28,3969,2758,3588,0,0,0,0,0,0,0,0
a431a4b95cde749fb790f033b6857dc4,0,0,0,0,0,6492,9808,0,0,0,0,947,0,4973,1305
20196c3e4f38d547a60b95bf25ddc1a6,486,2993,1652,2049,2485,479,760,0,0,977,1072,2294,3483,3405,2048
81faa2c902c5aa9658ffbb4c25abceae,52,940,3310,5023,4121,350,1072,0,0,69,174,762,499,0,0
c8f49dc8d37dce4191e305c1f8cffd09,24,0,0,0,0,0,0,52304,30141,0,0,0,0,0,0
f76775c5cf25a7a801532676369c8002,0,349,0,0,0,0,28,0,0,0,13,0,0,0,46
3b74eb52c75b2b691d8eea896b1dc9c6,0,40,0,0,0,2117,1013,0,0,207,3184,0,0,1985,2306
236e78cb28981a293a3d4a683ff57c97,0,0,0,0,0,0,0,0,0,0,0,3,0,9815,0
cd91ecbff9e52a4dcb11e497a4a6a60e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97c227806bfb9d84ca4f9c2ffddbf78c,141,0,0,0,181,166,0,0,0,0,0,0,0,0,0
9174ec73b77a24cffec54174823b2adc,3705,4770,2674,6316,0,0,0,0,0,2066,3119,447,72,892,158
46d8ecf794eaae22859addb9a7883343,1813,2293,3241,5034,1305,731,316,0,0,185,202,1281,332,0,0
52455d900b521ca910aaf766636420d2,539,760,624,1161,743,142,157,0,0,219,69,126,18,0,0
92f45593083dc644a81accd52e305195,0,0,0,0,279,763,0,0,0,0,0,29,63,245,50
81b9b2f1822ece4022770ad64971a8a2,0,0,0,0,0,0,0,0,0,2976,128,1202,1100,687,1325
67b35c74e74df02918882fe8200442d4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178554ae7560dd4e7cd3b2875f39560a,0,0,0,0,14,40,103,0,0,0,2,1733,18,2092,308
21f64163a9803060952765b396a69364,0,0,0,0,0,2206,699,0,0,0,0,167,2635,489,498
1fc0e1349de1aa453290997f0eee9128,0,0,0,0,0,0,0,0,0,0,0,280,64,912,90
936f6d40c20007b20690b986a57a890d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f39205511781deac80f19b2d301674da,473,2799,1171,1444,213,238,105,0,0,324,365,857,1014,1277,640
ad5395ef2da701094b0eba8c92fcc83a,164,1728,1806,1415,26,32,35,0,0,0,0,1060,364,1010,943
a9280a264e1e30daa0ce62a44189d028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aaad7bda052fd2161ca47908b959e38e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55f24fdd29f20eb274263ec119c11d3b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267b6237dff5f3e8becc212dcd240da9,0,0,0,0,309,815,0,0,0,0,0,508,115,1795,408
e4bd39957671a59ab2032e2501a7ca22,76,104,276,405,26,377,2067,0,0,0,25,0,20,1,31
ce9ef55cd89c79decbadc03212539b3f,0,0,0,0,4928,3147,4028,0,0,0,0,0,0,0,0
fc1b44adae7d05d0c6d884ae2104c93a,5523,3900,8862,4817,0,0,0,0,0,0,0,0,0,0,0
1bab4f3aa27110c3662bc567973c71be,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356299c010b5cd62734f30cff415cce5,0,0,0,0,0,0,0,0,0,10,0,187,0,1420,0
6e3949ea6ac544b3ca989f4536b440f0,102,0,0,0,0,0,0,0,0,0,0,607,261,2003,481
81d3d0edbffb50899055c5ae1a91cd37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9230327ce97dc5ee4620aab1b711a902,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c7f706661cf23dcd5a256778423d2a61,766,0,0,0,264,127,23,0,0,0,0,0,76,20,83
29bd63abd5c56b2756b4fb620a3be91e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
774e3a0784663d256ae483148b90574c,1773,2892,3875,4615,0,0,0,0,0,572,678,6266,735,0,0
d0bee9621d6139e3f9875b51ce7a20ff,0,0,0,0,0,0,0,0,0,0,209,115,177,0,0
07166e33ccf564db49455cc52f2ca1bc,0,0,141,0,282,145,777,0,0,0,54,0,15,27,23
c9dcdb0562021f9492018433457c7c14,0,0,0,0,0,0,267,0,0,0,0,45,29,0,211
8eb06da9a5ca735a9a62a94fcea0b0cd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ad2657c6f7f1c45037602e7e51bcd8e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2bdbf4f4c380cb1984d6407252f26acb,34,0,0,0,0,0,0,0,0,0,0,73,237,375,0
0325af6867c749e4ece693f974bb7813,899,2567,1559,2078,279,0,0,0,0,646,186,59,956,866,238
b32ab57662eca34279924478436e651f,0,0,0,0,0,0,0,0,0,9735,5548,0,0,0,0
4a5a96f6f40b09d30e233acc93c70cf3,829,945,616,1425,784,0,75,0,0,117,76,195,61,0,0
9b04dfa01e2eceb3468e808bf7b52b51,0,0,0,0,0,0,0,0,0,0,0,298,0,4708,559
