,V1,V2,V3,V4,V5,V6,V7
0019cec4ebc4fab57e8255d86666b3c6,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
0039eb4e840c853d0c709bfaf5b820d7,Bacteria,NA,NA,NA,NA,NA,NA
004d7167d53215b01d47cfd0a8a82cd8,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
0059291da64e6282aef86f2a570acc75,NA,NA,NA,NA,NA,NA,NA
007551fb67dad77acaaec42c6c3fed4e,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,aurimucosum
007f9e17125117ac40bcd84644d7b0e5,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Sneathia,NA
0084b62020b0c3d604b9dc0453b179d9,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
00886d521f485ef7065db69fcec22b0f,Bacteria,NA,NA,NA,NA,NA,NA
00a65c67400c2994353e6407fbcab908,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
00b96ab4465ff726de9bddcb309e5925,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,NA
00f0bc1468466a785fe62d671fa12897,Bacteria,NA,NA,NA,NA,NA,NA
01389ac893e519d6fd46ced7b7d84ff7,Bacteria,NA,NA,NA,NA,NA,NA
01881ebb3850343316cb8b927a62f274,Bacteria,NA,NA,NA,NA,NA,NA
019195dcf2b99ac99aaa1c1c1fb5dbdd,Bacteria,NA,NA,NA,NA,NA,NA
019db0850c97a7757b3660e49925685c,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,"albertii/boydii/coli/coli,/dysenteriae/enterica/fergusonii/flexneri/sonnei/vulneris"
01bccff7927f7f7d198d71ed6c1e04a0,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,NA
01be599397a37b64b2c33fc2036d27b8,Bacteria,NA,NA,NA,NA,NA,NA
01c3a313dc61f10b90c59c2ab4df37fb,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium_XlVa,scindens
01cd0e9d5e9256147ae462c002518728,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,NA
022f8c3d73afcf26c07c0762b96f034a,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,australis/parasanguinis
023d923fd9f4f265578618b1ce288b1d,Bacteria,NA,NA,NA,NA,NA,NA
0244c09f9dd7e5d08c085ca8143858f4,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
025ad7f902b41a6e22730510e764f8d1,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Saccharofermentans,NA
025f6a8c45ec4792b8f13ee91c5bd54a,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
0263688ad128c042cc1e48b7e2f8b708,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera,NA
026da63b826a6b58f6252c369c534add,Bacteria,NA,NA,NA,NA,NA,NA
02cdb2828ca9fb49b224ce9e88d85b00,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,wadsworthensis
02da842f8ea3fc53c24b44fcdcc54904,NA,NA,NA,NA,NA,NA,NA
02e5cbcbf72eebd190cf4339bd62b1c8,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Peptoniphilus,NA
0325af6867c749e4ece693f974bb7813,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Atopobium,vaginae
03adfae9e5117bdbb2d9a556fa9ec4a8,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,NA
03c3941af9f20f977f49357fcca46d0a,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
03c4318476a06fce865dc50e67798e63,Bacteria,NA,NA,NA,NA,NA,NA
040a6bbf560ce3c9ef7116697c50e565,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA
04135d162b8b7e951256167a8e343369,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,NA,NA,NA
